"region","industry (SIC2007)","sex","age","year","contents","07984: Employed persons per 4th quarter, by region, industry (SIC2007), sex, age, year and contents"
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2011","Employed persons by place of residence",53893
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2011","Employed persons by place of work",53909
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2012","Employed persons by place of residence",53983
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2012","Employed persons by place of work",53974
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2013","Employed persons by place of residence",54543
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2013","Employed persons by place of work",54554
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2014","Employed persons by place of residence",54768
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2014","Employed persons by place of work",54771
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2015","Employed persons by place of residence",50676
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2015","Employed persons by place of work",50675
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2016","Employed persons by place of residence",48751
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2016","Employed persons by place of work",48746
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2017","Employed persons by place of residence",48248
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2017","Employed persons by place of work",48249
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2018","Employed persons by place of residence",48839
"0 The whole country","10-33 Manufacture","2 Females","15-74 15-74 years","2018","Employed persons by place of work",48816
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2008","Employed persons by place of residence",2996
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2008","Employed persons by place of work",3014
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2009","Employed persons by place of residence",2436
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2009","Employed persons by place of work",2405
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2010","Employed persons by place of residence",2475
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2010","Employed persons by place of work",2476
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2011","Employed persons by place of residence",2496
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2011","Employed persons by place of work",2504
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2012","Employed persons by place of residence",2266
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2012","Employed persons by place of work",2285
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2013","Employed persons by place of residence",2143
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2013","Employed persons by place of work",2138
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2014","Employed persons by place of residence",2280
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2014","Employed persons by place of work",2264
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2015","Employed persons by place of residence",2243
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2015","Employed persons by place of work",2233
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2016","Employed persons by place of residence",2178
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2016","Employed persons by place of work",2167
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2017","Employed persons by place of residence",2149
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2017","Employed persons by place of work",2164
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2018","Employed persons by place of residence",2087
"0 The whole country","10-33 Manufacture","2 Females","15-19 15-19 years","2018","Employed persons by place of work",2099
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2008","Employed persons by place of residence",3979
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2008","Employed persons by place of work",3977
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2009","Employed persons by place of residence",3143
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2009","Employed persons by place of work",3141
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2010","Employed persons by place of residence",3158
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2010","Employed persons by place of work",3152
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2011","Employed persons by place of residence",3258
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2011","Employed persons by place of work",3266
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2012","Employed persons by place of residence",3229
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2012","Employed persons by place of work",3201
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2013","Employed persons by place of residence",3344
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2013","Employed persons by place of work",3343
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2014","Employed persons by place of residence",3158
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2014","Employed persons by place of work",3206
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2015","Employed persons by place of residence",2480
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2015","Employed persons by place of work",2502
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2016","Employed persons by place of residence",2364
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2016","Employed persons by place of work",2365
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2017","Employed persons by place of residence",2357
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2017","Employed persons by place of work",2361
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2018","Employed persons by place of residence",2456
"0 The whole country","10-33 Manufacture","2 Females","20-24 20-24 years","2018","Employed persons by place of work",2455
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2008","Employed persons by place of residence",19909
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2008","Employed persons by place of work",19932
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2009","Employed persons by place of residence",17785
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2009","Employed persons by place of work",17806
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2010","Employed persons by place of residence",16494
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2010","Employed persons by place of work",16506
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2011","Employed persons by place of residence",16485
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2011","Employed persons by place of work",16466
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2012","Employed persons by place of residence",16647
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2012","Employed persons by place of work",16647
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2013","Employed persons by place of residence",17058
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2013","Employed persons by place of work",17067
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2014","Employed persons by place of residence",17168
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2014","Employed persons by place of work",17147
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2015","Employed persons by place of residence",15681
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2015","Employed persons by place of work",15677
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2016","Employed persons by place of residence",14750
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2016","Employed persons by place of work",14736
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2017","Employed persons by place of residence",14353
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2017","Employed persons by place of work",14369
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2018","Employed persons by place of residence",14611
"0 The whole country","10-33 Manufacture","2 Females","25-39 25-39 years","2018","Employed persons by place of work",14579
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2008","Employed persons by place of residence",22838
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2008","Employed persons by place of work",22834
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2009","Employed persons by place of residence",21932
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2009","Employed persons by place of work",21929
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2010","Employed persons by place of residence",21025
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2010","Employed persons by place of work",21032
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2011","Employed persons by place of residence",21394
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2011","Employed persons by place of work",21374
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2012","Employed persons by place of residence",21333
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2012","Employed persons by place of work",21360
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2013","Employed persons by place of residence",21422
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2013","Employed persons by place of work",21427
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2014","Employed persons by place of residence",21436
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2014","Employed persons by place of work",21434
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2015","Employed persons by place of residence",20216
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2015","Employed persons by place of work",20232
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2016","Employed persons by place of residence",19498
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2016","Employed persons by place of work",19528
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2017","Employed persons by place of residence",19316
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2017","Employed persons by place of work",19297
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2018","Employed persons by place of residence",19257
"0 The whole country","10-33 Manufacture","2 Females","40-54 40-54 years","2018","Employed persons by place of work",19249
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2008","Employed persons by place of residence",10021
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2008","Employed persons by place of work",9978
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2009","Employed persons by place of residence",9648
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2009","Employed persons by place of work",9642
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2010","Employed persons by place of residence",9343
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2010","Employed persons by place of work",9344
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2011","Employed persons by place of residence",9516
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2011","Employed persons by place of work",9512
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2012","Employed persons by place of residence",9666
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2012","Employed persons by place of work",9683
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2013","Employed persons by place of residence",9703
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2013","Employed persons by place of work",9700
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2014","Employed persons by place of residence",9804
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2014","Employed persons by place of work",9810
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2015","Employed persons by place of residence",9355
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2015","Employed persons by place of work",9346
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2016","Employed persons by place of residence",9241
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2016","Employed persons by place of work",9221
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2017","Employed persons by place of residence",9325
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2017","Employed persons by place of work",9327
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2018","Employed persons by place of residence",9625
"0 The whole country","10-33 Manufacture","2 Females","55-66 55-66 years","2018","Employed persons by place of work",9633
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2008","Employed persons by place of residence",647
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2008","Employed persons by place of work",680
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2009","Employed persons by place of residence",656
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2009","Employed persons by place of work",677
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2010","Employed persons by place of residence",668
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2010","Employed persons by place of work",681
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2011","Employed persons by place of residence",759
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2011","Employed persons by place of work",760
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2012","Employed persons by place of residence",799
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2012","Employed persons by place of work",797
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2013","Employed persons by place of residence",895
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2013","Employed persons by place of work",884
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2014","Employed persons by place of residence",892
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2014","Employed persons by place of work",927
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2015","Employed persons by place of residence",703
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2015","Employed persons by place of work",689
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2016","Employed persons by place of residence",715
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2016","Employed persons by place of work",733
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2017","Employed persons by place of residence",748
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2017","Employed persons by place of work",731
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2018","Employed persons by place of residence",803
"0 The whole country","10-33 Manufacture","2 Females","67-74 67-74 years","2018","Employed persons by place of work",801
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2008","Employed persons by place of residence",20776
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2008","Employed persons by place of work",20773
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2009","Employed persons by place of residence",21306
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2009","Employed persons by place of work",21312
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2010","Employed persons by place of residence",22238
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2010","Employed persons by place of work",22238
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2011","Employed persons by place of residence",22853
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2011","Employed persons by place of work",22841
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2012","Employed persons by place of residence",22979
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2012","Employed persons by place of work",22969
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2013","Employed persons by place of residence",23584
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2013","Employed persons by place of work",23569
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2014","Employed persons by place of residence",23735
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2014","Employed persons by place of work",23731
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2015","Employed persons by place of residence",23523
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2015","Employed persons by place of work",23519
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2016","Employed persons by place of residence",24158
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2016","Employed persons by place of work",24185
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2017","Employed persons by place of residence",24145
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2017","Employed persons by place of work",24130
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2018","Employed persons by place of residence",24659
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-74 15-74 years","2018","Employed persons by place of work",24732
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2008","Employed persons by place of residence",576
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2008","Employed persons by place of work",601
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2009","Employed persons by place of residence",535
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2009","Employed persons by place of work",534
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2010","Employed persons by place of residence",593
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2010","Employed persons by place of work",611
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2011","Employed persons by place of residence",590
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2011","Employed persons by place of work",603
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2012","Employed persons by place of residence",516
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2012","Employed persons by place of work",541
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2013","Employed persons by place of residence",544
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2013","Employed persons by place of work",571
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2014","Employed persons by place of residence",578
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2014","Employed persons by place of work",577
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2015","Employed persons by place of residence",505
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2015","Employed persons by place of work",532
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2016","Employed persons by place of residence",532
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2016","Employed persons by place of work",573
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2017","Employed persons by place of residence",501
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2017","Employed persons by place of work",488
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2018","Employed persons by place of residence",523
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","15-19 15-19 years","2018","Employed persons by place of work",521
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2008","Employed persons by place of residence",938
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2008","Employed persons by place of work",958
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2009","Employed persons by place of residence",968
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2009","Employed persons by place of work",962
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2010","Employed persons by place of residence",1134
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2010","Employed persons by place of work",1126
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2011","Employed persons by place of residence",1122
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2011","Employed persons by place of work",1144
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2012","Employed persons by place of residence",1097
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2012","Employed persons by place of work",1109
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2013","Employed persons by place of residence",1186
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2013","Employed persons by place of work",1172
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2014","Employed persons by place of residence",1182
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2014","Employed persons by place of work",1165
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2015","Employed persons by place of residence",1114
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2015","Employed persons by place of work",1070
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2016","Employed persons by place of residence",1073
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2016","Employed persons by place of work",1051
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2017","Employed persons by place of residence",1105
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2017","Employed persons by place of work",1114
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2018","Employed persons by place of residence",1098
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","20-24 20-24 years","2018","Employed persons by place of work",1121
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2008","Employed persons by place of residence",5234
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2008","Employed persons by place of work",5210
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2009","Employed persons by place of residence",5257
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2009","Employed persons by place of work",5250
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2010","Employed persons by place of residence",5470
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2010","Employed persons by place of work",5476
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2011","Employed persons by place of residence",5631
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2011","Employed persons by place of work",5617
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2012","Employed persons by place of residence",5556
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2012","Employed persons by place of work",5537
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2013","Employed persons by place of residence",5610
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2013","Employed persons by place of work",5623
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2014","Employed persons by place of residence",5671
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2014","Employed persons by place of work",5678
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2015","Employed persons by place of residence",5768
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2015","Employed persons by place of work",5783
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2016","Employed persons by place of residence",6008
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2016","Employed persons by place of work",6005
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2017","Employed persons by place of residence",6091
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2017","Employed persons by place of work",6074
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2018","Employed persons by place of residence",6329
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","25-39 25-39 years","2018","Employed persons by place of work",6362
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2008","Employed persons by place of residence",8677
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2008","Employed persons by place of work",8675
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2009","Employed persons by place of residence",9001
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2009","Employed persons by place of work",9001
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2010","Employed persons by place of residence",9245
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2010","Employed persons by place of work",9242
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2011","Employed persons by place of residence",9470
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2011","Employed persons by place of work",9483
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2012","Employed persons by place of residence",9658
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2012","Employed persons by place of work",9632
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2013","Employed persons by place of residence",9783
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2013","Employed persons by place of work",9787
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2014","Employed persons by place of residence",9721
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2014","Employed persons by place of work",9725
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2015","Employed persons by place of residence",9609
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2015","Employed persons by place of work",9624
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2016","Employed persons by place of residence",9749
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2016","Employed persons by place of work",9756
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2017","Employed persons by place of residence",9598
"0 The whole country","35-39 Electricity, water supply, sewerage, waste management","1 Males","40-54 40-54 years","2017","Employed persons by place of work",9614
